target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL3885590,Homo sapiens,J. Nat. Prod.,2011,6379306,IC50,THAILANDEPSIN B,Histone deacetylase 1/Nuclear receptor corepressor 2,CHEMBL1838187,BAO_0000223,5.11,Inhibition of recombinant human HDAC1/NCOR2 using Boc-L-Lys(epsilon-acetyl)-AMC as substrate by two-step fluorogenic assay
CHEMBL3885591,Homo sapiens,J. Nat. Prod.,2011,6379312,IC50,THAILANDEPSIN B,Histone deacetylase 2/Nuclear receptor corepressor 2,CHEMBL1838188,BAO_0000223,5.35,Inhibition of recombinant human HDAC2/NCOR2 using Boc-L-Lys(epsilon-acetyl)-AMC as substrate by two-step fluorogenic assay
CHEMBL2111363,Homo sapiens,J. Nat. Prod.,2011,6379318,IC50,THAILANDEPSIN B,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL1838189,BAO_0000223,7.64,Inhibition of recombinant human HDAC3/NCOR2 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay
CHEMBL3524,Homo sapiens,J. Nat. Prod.,2011,6379324,IC50,THAILANDEPSIN B,Histone deacetylase 4,CHEMBL1838190,BAO_0000357,4.66,Inhibition of recombinant human HDAC4 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay
CHEMBL1865,Homo sapiens,J. Nat. Prod.,2011,6379330,IC50,THAILANDEPSIN B,Histone deacetylase 6,CHEMBL1838191,BAO_0000357,4.96,Inhibition of recombinant human HDAC6 using Boc-L-Lys(epsilon-acetyl)-AMC as substrate by two-step fluorogenic assay
CHEMBL2716,Homo sapiens,J. Nat. Prod.,2011,6379336,IC50,THAILANDEPSIN B,Histone deacetylase 7,CHEMBL1838192,BAO_0000357,4.57,Inhibition of recombinant human HDAC7 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay
CHEMBL3192,Homo sapiens,J. Nat. Prod.,2011,6379342,IC50,THAILANDEPSIN B,Histone deacetylase 8,CHEMBL1838193,BAO_0000357,4.52,Inhibition of recombinant human HDAC8 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay
CHEMBL325,Homo sapiens,MedChemComm,2012,14550861,IC50,THAILANDEPSIN B,Histone deacetylase 1,CHEMBL3227883,BAO_0000357,8.92,Inhibition of human recombinant HDAC1 after 1 hr by luminescence assay
CHEMBL3524,Homo sapiens,MedChemComm,2012,14550868,IC50,THAILANDEPSIN B,Histone deacetylase 4,CHEMBL3227884,BAO_0000357,4.24,Inhibition of human recombinant HDAC4 after 1 hr by luminescence assay
CHEMBL1865,Homo sapiens,MedChemComm,2012,14550875,IC50,THAILANDEPSIN B,Histone deacetylase 6,CHEMBL3227885,BAO_0000357,5.92,Inhibition of human recombinant HDAC6 after 1 hr by luminescence assay
