target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL325,Homo sapiens,Bioorg. Med. Chem.,2015,15647944,IC50,None,Histone deacetylase 1,CHEMBL3596003,BAO_0000357,8.6,Inhibition of recombinant full-length HDAC1 (unknown origin) using MAZ1600/MAZ1675 as substrate assessed as release of 7 amino-4-methylcoumarin measured every 5 mins by fluorescence assay
CHEMBL1937,Homo sapiens,Bioorg. Med. Chem.,2015,15648267,IC50,None,Histone deacetylase 2,CHEMBL3596004,BAO_0000357,8.38,Inhibition of recombinant full-length HDAC2 (unknown origin) using MAZ1600/MAZ1675 as substrate assessed as release of 7 amino-4-methylcoumarin measured every 5 mins by fluorescence assay
CHEMBL1829,Homo sapiens,Bioorg. Med. Chem.,2015,15648279,IC50,None,Histone deacetylase 3,CHEMBL3596005,BAO_0000357,8.56,Inhibition of recombinant full-length HDAC3 (unknown origin) using MAZ1600/MAZ1675 as substrate assessed as release of 7 amino-4-methylcoumarin measured every 5 mins by fluorescence assay
CHEMBL1865,Homo sapiens,Bioorg. Med. Chem.,2015,15648291,IC50,None,Histone deacetylase 6,CHEMBL3596006,BAO_0000357,7.55,Inhibition of recombinant full-length HDAC6 (unknown origin) using MAZ1600/MAZ1675 as substrate assessed as release of 7 amino-4-methylcoumarin measured every 5 mins by fluorescence assay
CHEMBL3192,Homo sapiens,Bioorg. Med. Chem.,2015,15648297,IC50,None,Histone deacetylase 8,CHEMBL3596007,BAO_0000357,6.64,Inhibition of recombinant full-length HDAC8 (unknown origin) using MAZ1600/MAZ1675 as substrate assessed as release of 7 amino-4-methylcoumarin measured every 5 mins by fluorescence assay
CHEMBL3879801,None,Bioorg. Med. Chem.,2015,15648303,IC50,None,NON-PROTEIN TARGET,CHEMBL3594554,BAO_0000219,7.0,Cytotoxicity against human NMC-797 cells assessed as cell viability after 48 hrs by luminescence assay
CHEMBL3879801,None,Bioorg. Med. Chem.,2015,15648314,IC50,None,NON-PROTEIN TARGET,CHEMBL3594555,BAO_0000219,7.1,Cytotoxicity against human NMC-10326 cells assessed as cell viability after 48 hrs by luminescence assay
CHEMBL3879801,None,Bioorg. Med. Chem.,2015,15648328,IC50,None,NON-PROTEIN TARGET,CHEMBL3594554,BAO_0000219,7.02,Cytotoxicity against human NMC-797 cells assessed as cell viability after 48 hrs by luminescence assay
CHEMBL3879801,None,Bioorg. Med. Chem.,2015,15648339,IC50,None,NON-PROTEIN TARGET,CHEMBL3594555,BAO_0000219,7.08,Cytotoxicity against human NMC-10326 cells assessed as cell viability after 48 hrs by luminescence assay
CHEMBL2111363,Homo sapiens,Bioorg Med Chem,2017,18096955,IC50,None,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),CHEMBL4021380,BAO_0000219,9.15,Inhibition of full length human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected Sf9 insect cells using BPS HDAC substrate 3 after 30 mins by fluorescence assay
CHEMBL1937,Homo sapiens,Bioorg Med Chem,2017,18096963,IC50,None,Histone deacetylase 2,CHEMBL4021378,BAO_0000219,9.05,Inhibition of full length C-terminal FLAG-tagged human HDAC2 expressed in baculovirus infected Sf9 insect cells using BPS HDAC substrate 3 after 30 mins by fluorescence assay
CHEMBL325,Homo sapiens,Bioorg Med Chem,2017,18096971,IC50,None,Histone deacetylase 1,CHEMBL4021376,BAO_0000219,9.4,Inhibition of recombinant full length C-terminal His/FLAG-tagged human HDAC1 expressed in baculovirus infected Sf9 insect cells using BPS HDAC substrate 3 after 30 mins by fluorescence assay
CHEMBL1865,Homo sapiens,Bioorg Med Chem,2017,18097009,IC50,None,Histone deacetylase 6,CHEMBL4021385,BAO_0000219,7.38,Inhibition of full length N-terminal GST-tagged human HDAC6 expressed in baculovirus infected Sf9 insect cells using HDAC substrate 3 after 30 mins by fluorescence assay
CHEMBL3192,Homo sapiens,Bioorg Med Chem,2017,18097017,IC50,None,Histone deacetylase 8,CHEMBL4021382,BAO_0000219,6.99,Inhibition of full length C-terminal His-tagged human HDAC8 expressed in baculovirus infected Sf9 insect cells using BPS HDAC class 2a substrate after 30 mins by fluorescence assay
CHEMBL5103,Homo sapiens,Bioorg Med Chem,2017,18097025,IC50,None,Histone deacetylase 10,CHEMBL4021388,BAO_0000219,9.3,Inhibition of N-terminal GST-tagged/C-terminal His-tagged human HDAC10 (1 to 481 residues) expressed in baculovirus infected Sf9 insect cells using BPS HDAC substrate 3 after 30 mins by fluorescence assay
