smiles,InChI Codes,InChI Keys,ChEMBL_IDs,target_molecule_pref_name,# Known Targets,Known Targets,document_journal,target_organism,nAcid,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nSpiro,nBridgehead,nHetero,nH,nB,nC,nN,nO,nS,nP,nF,nCl,nBr,nI,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,nHBAcc,nHBDon,Lipinski,GhoseFilter,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,n11Ring,n12Ring,nG12Ring,nHRing,n3HRing,n4HRing,n5HRing,n6HRing,n7HRing,n8HRing,n9HRing,n10HRing,n11HRing,n12HRing,nG12HRing,naRing,n3aRing,n4aRing,n5aRing,n6aRing,n7aRing,n8aRing,n9aRing,n10aRing,n11aRing,n12aRing,nG12aRing,naHRing,n3aHRing,n4aHRing,n5aHRing,n6aHRing,n7aHRing,n8aHRing,n9aHRing,n10aHRing,n11aHRing,n12aHRing,nG12aHRing,nARing,n3ARing,n4ARing,n5ARing,n6ARing,n7ARing,n8ARing,n9ARing,n10ARing,n11ARing,n12ARing,nG12ARing,nAHRing,n3AHRing,n4AHRing,n5AHRing,n6AHRing,n7AHRing,n8AHRing,n9AHRing,n10AHRing,n11AHRing,n12AHRing,nG12AHRing,nFRing,n4FRing,n5FRing,n6FRing,n7FRing,n8FRing,n9FRing,n10FRing,n11FRing,n12FRing,nG12FRing,nFHRing,n4FHRing,n5FHRing,n6FHRing,n7FHRing,n8FHRing,n9FHRing,n10FHRing,n11FHRing,n12FHRing,nG12FHRing,nFaRing,n4FaRing,n5FaRing,n6FaRing,n7FaRing,n8FaRing,n9FaRing,n10FaRing,n11FaRing,n12FaRing,nG12FaRing,nFaHRing,n4FaHRing,n5FaHRing,n6FaHRing,n7FaHRing,n8FaHRing,n9FaHRing,n10FaHRing,n11FaHRing,n12FaHRing,nG12FaHRing,nFARing,n4FARing,n5FARing,n6FARing,n7FARing,n8FARing,n9FARing,n10FARing,n11FARing,n12FARing,nG12FARing,nFAHRing,n4FAHRing,n5FAHRing,n6FAHRing,n7FAHRing,n8FAHRing,n9FAHRing,n10FAHRing,n11FAHRing,n12FAHRing,nG12FAHRing,nRot,RotRatio,SLogP,SMR,TopoPSA(NO),TopoPSA,MW,AMW,n13Ring,n14Ring,n15Ring,n16Ring,n17Ring,n18Ring,n19Ring,n20Ring,n21Ring,n22Ring,n23Ring,n24Ring,n25Ring,n26Ring,n27Ring,n28Ring,n29Ring,n30Ring,n31Ring,n32Ring,n33Ring,n34Ring,n35Ring,n36Ring,n37Ring,n38Ring,n39Ring,n40Ring,n41Ring,n42Ring,n43Ring,n44Ring,n45Ring,n46Ring,n47Ring,n48Ring,n49Ring,n50Ring,n51Ring,n52Ring,n53Ring,n54Ring,n55Ring,n56Ring,n57Ring,n58Ring,n59Ring,n60Ring,n61Ring,n62Ring,n63Ring,n64Ring,n65Ring,n66Ring,n67Ring,n68Ring,n69Ring,n70Ring,n71Ring,n72Ring,n73Ring,n74Ring,n75Ring,n76Ring,n77Ring,n78Ring,n79Ring,n80Ring,n81Ring,n82Ring,n83Ring,n84Ring,n85Ring,n86Ring,n87Ring,n88Ring,n89Ring,n90Ring,n91Ring,n92Ring,n93Ring,n94Ring,n95Ring,n96Ring,n97Ring,n98Ring,n99Ring,SmallestRS,LargestRS,nSugars,core_ester
CC[C@H]1OC(=O)[C@H](C)[C@@]2(O)O[C@@](C)(C[C@@H](C)/C(=N\O)[C@H](C)[C@@H](O)[C@]1(C)O)[C@H](O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)[C@H]2C,"InChI=1S/C29H52N2O10/c1-11-20-28(8,35)23(33)16(4)21(30-37)14(2)13-27(7)24(17(5)29(36,41-27)18(6)25(34)39-20)40-26-22(32)19(31(9)10)12-15(3)38-26/h14-20,22-24,26,32-33,35-37H,11-13H2,1-10H3/b30-21+/t14-,15-,16+,17-,18+,19+,20-,22-,23-,24-,26+,27+,28-,29+/m1/s1",FEBHYOCHALKSCC-BVPIFGAUSA-N,CHEMBL2368027,,,,,Homo sapiens,0,1,0,0,93,41,0,2,12,52,0,29,2,10,0,0,0,0,0,0,0,95,43,93,2,0,0,2,93,2,12,5,False,False,3,0,0,1,1,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0.093023256,1.4871,149.0427,170.74,170.74,588.3621959,6.326475224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C/C=C/Br)CC(C)C/C=C\C(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-10,12-14,18-28,30,33,35H,11,15-17H2,1-7H3/b12-8+,13-10-,14-9+",OFJHCMSOFLCMIT-XSDCUYBMSA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C/C=C/Br)CC(C)C/C=C\C(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-10,12-14,18-28,30,33,35H,11,15-17H2,1-7H3/b12-8+,13-10-,14-9+",OFJHCMSOFLCMIT-XSDCUYBMSA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C/C=C\Br)CC(C)C/C=C\C(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-10,12-14,18-28,30,33,35H,11,15-17H2,1-7H3/b12-8+,13-10-,14-9-",OFJHCMSOFLCMIT-USQDBZNWSA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C/C=C\Br)CC(C)C/C=C\C(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-10,12-14,18-28,30,33,35H,11,15-17H2,1-7H3/b12-8+,13-10-,14-9-",OFJHCMSOFLCMIT-USQDBZNWSA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C\C=C\Br)CC(C)C/C=C\C(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-10,12-14,18-28,30,33,35H,11,15-17H2,1-7H3/b12-8-,13-10-,14-9+",OFJHCMSOFLCMIT-HQCKUOKASA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C/C=C/Br)CC(C)/C=C\CC(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-12,14,18-28,30,33,35H,13,15-17H2,1-7H3/b11-10-,12-8+,14-9+",RXKHKYLAQKUTIR-RAPMJVSDSA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C/C=C/Br)CC(C)/C=C\CC(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-12,14,18-28,30,33,35H,13,15-17H2,1-7H3/b11-10-,12-8+,14-9+",RXKHKYLAQKUTIR-RAPMJVSDSA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
COC1C(C)OC(OC2CC3OC(O)(C2)C(C)C(=O)OC(/C=C/C=C/Br)CC(C)/C=C\CC(O)C3C)C(OC)C1OC,"InChI=1S/C31H49BrO10/c1-18-11-10-13-24(33)19(2)25-16-23(41-30-28(38-7)27(37-6)26(36-5)21(4)39-30)17-31(35,42-25)20(3)29(34)40-22(15-18)12-8-9-14-32/h8-12,14,18-28,30,33,35H,13,15-17H2,1-7H3/b11-10-,12-8+,14-9+",RXKHKYLAQKUTIR-RAPMJVSDSA-N,,,,,,,0,0,0,0,91,42,0,2,11,49,0,31,0,10,0,0,0,0,1,0,1,93,44,89,4,0,0,4,89,4,10,2,False,False,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0.159090909,4.0248,159.6156,122.14,122.14,660.2509098999999,7.255504504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,2,1
CC[C@H]1OC(=O)[C@H](C)[C@@]2(O)O[C@@](C)(C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O)[C@H](O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)[C@H]2C,"InChI=1S/C33H60N2O12/c1-12-24-32(8,39)27(37)20(4)25(34-43-17-42-14-13-41-11)18(2)16-31(7)28(21(5)33(40,47-31)22(6)29(38)45-24)46-30-26(36)23(35(9)10)15-19(3)44-30/h18-24,26-28,30,36-37,39-40H,12-17H2,1-11H3/b34-25+/t18-,19-,20+,21-,22+,23+,24-,26-,27-,28-,30+,31+,32-,33+/m1/s1",GBRPJOUTTSDFPP-MRPOZKLESA-N,CHEMBL2368026,,,,,Homo sapiens,0,1,0,0,107,47,0,2,14,60,0,33,2,12,0,0,0,0,0,0,0,109,49,107,2,0,0,2,107,2,14,4,False,False,3,0,0,1,1,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,10,0.204081633,1.65,171.0362,178.2,178.2,676.4146254,6.321632012999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,2,1
